Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-12,439308,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439276,25,5,0,3,2,500.25,505.72,260.13,240.12,210.61,208.33,0,3,565.05
2024-12,439273,12,9,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439259,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439258,12,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439186,35,27,0,5,2,6.29,32.25,1.76,4.52,712.67,138.96,0,2,32.26
2024-12,439167,15,12,0,1,1,9.06,9.75,4.71,4.35,224.19,208.33,0,1,9.76
2024-12,439150,31,21,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439137,4,2,0,1,1,-7.18,9.68,-7.18,0.0,0.0,0.0,0,1,9.68
2024-12,439083,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439079,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439040,6,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439025,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439014,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,439008,5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438990,27,21,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438906,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438904,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438899,11,8,0,13,9,33.57,89.73,4.86,28.71,312.51,116.93,0,9,89.76
2024-12,438876,36,28,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438845,24,18,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438766,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438761,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438747,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438710,4,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438701,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438683,3,3,0,1,1,65.0,65.0,33.8,31.2,208.33,208.33,0,4,65.0
2024-12,438668,24,10,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438664,434,277,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438660,38,27,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438613,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438606,50,35,0,3,1,9.54,9.82,4.96,4.58,214.44,208.33,0,1,9.83
2024-12,438598,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438589,7,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438581,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438562,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438558,508,252,0,51,38,499.37,906.21,228.17,271.2,334.15,184.13,0,70,1114.8
2024-12,438527,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438521,248,153,0,26,3,63.54,63.49,31.79,31.74,200.0,200.14,0,5,63.5
2024-12,438517,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438516,9,9,0,3,2,49.11,49.32,25.47,23.64,208.63,207.75,0,2,59.25
2024-12,438503,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438497,53,19,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,438488,30,23,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
